City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,kruisfontein,-34.0033,24.7314,9.94,86,66,4.37,ZA,1690421906
121,mariehamn,60.0973,19.9348,10.92,100,0,0.0,AX,1690421907
122,lethem,3.3803,-59.7968,24.39,91,100,0.79,GY,1690421907
123,tinajo,29.0788,-13.7081,21.49,73,0,3.09,ES,1690421910
124,ancud,-41.8697,-73.8203,7.97,91,100,2.21,CL,1690421564
125,riachao do jacuipe,-11.8069,-39.3856,18.44,95,4,2.54,BR,1690421911
126,kihancha,-1.1838,34.6262,15.8,65,29,2.6,KE,1690421911
127,east london,-33.0153,27.9116,17.78,69,100,5.47,ZA,1690421610
128,saipan,15.1355,145.701,27.58,100,75,6.69,MP,1690421584
129,askale,39.9208,40.695,12.64,55,0,2.31,TR,1690421913
130,sokol'skoye,57.1412,43.1589,18.75,96,54,5.51,RU,1690421914
131,ondjiva,-17.0667,15.7333,17.02,29,13,1.03,AO,1690421914
132,ghat,24.9647,10.1728,30.35,12,1,0.41,LY,1690421914
133,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,73,20,6.0,RU,1690421587
134,iqaluit,63.7506,-68.5145,7.85,81,40,0.0,CA,1690421368
135,yauya,-8.9833,-77.3,9.67,80,28,1.85,PE,1690421914
136,laojunmiao,39.8333,97.7333,26.3,15,0,0.76,CN,1690421773
137,la massana,42.5667,1.4833,10.17,79,0,0.37,AD,1690421914
138,constantia,44.1833,28.65,21.5,84,99,6.07,RO,1690421603
139,prineville,44.2999,-120.8345,29.39,21,0,4.63,US,1690421804
140,fale old settlement,-9.3852,-171.2468,28.5,73,29,7.95,TK,1690421573
141,marsa alam,25.0757,34.8918,33.11,40,100,1.44,EG,1690421915
142,ust-nera,64.5667,143.2,14.42,58,100,3.31,RU,1690421585
143,thompson,55.7435,-97.8558,15.09,72,100,1.54,CA,1690421569
144,sacueni,47.35,22.1,15.12,82,100,1.5,RO,1690421916
